Date,adj_close,High_AAPL,Low_AAPL,Open_AAPL,Volume_AAPL,date,next_close,next_ret,sentiment_score,article_count,sent_1d,sent_3d_mean,sentiment_bin
2023-02-22,147.06329345703125,148.09038924690807,145.33499611487431,147.0237810788301,51011300,2023-02-22,147.54721069335938,0.003285135218997517,0.0,0.0,0.0,0.0,Medium
2023-02-23,147.54721069335938,148.47555569965527,145.4140093743504,148.22865607328114,48394200,2023-02-23,144.89060974121094,-0.01816915493686963,0.0,0.0,0.0,0.0,Medium
2023-02-24,144.89060974121094,145.3646528906462,143.91288161778817,145.28564318748033,55469600,2023-02-24,146.08558654785156,0.0082136170586014,0.0,0.0,0.0,0.0,Medium
2023-02-27,146.08558654785156,147.32008482695682,145.62141398934327,145.87819927591497,44998500,2023-02-27,145.5819091796875,-0.003453781283295132,0.0,0.0,0.0,0.0,Medium
2023-02-28,145.5819091796875,147.2311969873109,145.0091001993268,145.2263730908277,50547000,2023-02-28,143.50794982910156,-0.01434844473227458,0.0,0.0,0.0,0.0,Medium
2023-03-01,143.50794982910156,145.40413732845008,143.2116672358624,145.0091039171703,55479000,2023-03-01,144.1005096435547,0.004120606563393998,0.0,0.0,0.0,0.0,Medium
2023-03-02,144.1005096435547,144.8905915062189,142.11542689154663,142.58948505088003,52238100,2023-03-02,149.15701293945312,0.03448848949367355,0.0,0.0,0.0,0.0,Medium
2023-03-03,149.15701293945312,149.236022634522,145.50290119247913,146.20408774818284,70732300,2023-03-03,151.92230224609375,0.01836969149286738,0.0,0.0,0.0,0.0,Medium
2023-03-06,151.92230224609375,154.3616721188966,151.55689556759242,151.8827898611123,87558000,2023-03-06,149.71994018554688,-0.014602737193670888,0.0,0.0,0.0,0.0,Medium
2023-03-07,149.71994018554688,152.11979733212814,149.25576768015293,151.79388801539042,56182000,2023-03-07,150.9741668701172,0.008342258321287712,0.0,0.0,0.0,0.0,Medium
2023-03-08,150.9741668701172,151.5667319547554,149.94707113557456,150.9149133755646,47204800,2023-03-08,148.7224578857422,-0.015026871637253747,0.0,0.0,0.0,0.0,Medium
2023-03-09,148.7224578857422,152.62346903568368,148.3669218148619,151.65562670311525,53833600,2023-03-09,146.6583709716797,-0.013975995123609166,0.0,0.0,0.0,0.0,Medium
2023-03-10,146.6583709716797,149.0681136196498,145.7794089470896,148.34717096498875,68572400,2023-03-10,148.6039581298828,0.013178892977613273,0.0,0.0,0.0,0.0,Medium
2023-03-13,148.6039581298828,151.2408445051467,145.86830586973156,145.97694231528436,84457100,2023-03-13,150.69764709472656,0.013990724271468042,0.0,0.0,0.0,0.0,Medium
