Date,adj_close,High_SPY,Low_SPY,Open_SPY,Volume_SPY,date,next_close,next_ret,sentiment_score,article_count,sent_1d,sent_3d_mean,sentiment_bin
2023-01-25,387.04986572265625,387.38824417476695,380.4854299651901,382.7960452634292,84800300,2023-01-25,391.3037414550781,0.010930554047601652,0.0,0.0,0.0,0.0,Medium
2023-01-26,391.3037414550781,391.4681068420332,386.7405440805663,389.73756443100297,72287400,2023-01-26,392.2027893066406,0.0022949349133694844,0.0,0.0,0.0,0.0,Medium
2023-01-27,392.2027893066406,394.6004111857318,390.03721438600695,390.2499068874082,68346200,2023-01-27,387.2818298339844,-0.012626355231593786,0.0,0.0,0.0,0.0,Medium
2023-01-30,387.2818298339844,391.6710128710371,386.9821308329265,389.4184022458381,74202000,2023-01-30,392.9762268066406,0.014596447998433845,0.0,0.0,0.0,0.0,Medium
2023-01-31,392.9762268066406,393.0245539413983,387.4558990435297,387.8039547265191,86811800,2023-01-31,397.1527099609375,0.010571748122368852,0.0,0.0,0.0,0.0,Medium
2023-02-01,397.1527099609375,399.9273898352684,388.9834469940216,391.74842013563244,101459200,2023-02-01,402.9339904785156,0.014451886616306508,0.0,0.0,0.0,0.0,Medium
2023-02-02,402.9339904785156,404.4131605811476,399.163559776095,401.0777625537705,101654500,2023-02-02,398.6512145996094,-0.010685867466315222,0.0,0.0,0.0,0.0,Medium
2023-02-03,398.6512145996094,403.11772760470126,397.43306396049513,397.9164533247474,94736800,2023-02-03,396.21490478515625,-0.006130132822230597,0.0,0.0,0.0,0.0,Medium
2023-02-06,396.21490478515625,397.6264229410593,394.54239650327366,396.17625487954547,60295300,2023-02-06,401.3968505859375,0.0129938373540148,0.0,0.0,0.0,0.0,Medium
2023-02-07,401.3968505859375,402.65365109372783,394.0300016167094,395.28680212449973,90990700,2023-02-07,397.0076599121094,-0.010995015267564894,0.0,0.0,0.0,0.0,Medium
2023-02-08,397.0076599121094,400.75876591933667,396.31157808083276,399.4052816651165,76227500,2023-02-08,393.56591796875,-0.008707004087622181,0.0,0.0,0.0,0.0,Medium
2023-02-09,393.56591796875,400.79743290827975,392.32844247413055,400.64274478348443,78694900,2023-02-09,394.4844055175781,0.0023310388622562227,0.0,0.0,0.0,0.0,Medium
2023-02-10,394.4844055175781,394.8711111130122,391.5550671141399,392.3768054405327,70769700,2023-02-10,399.115234375,0.011670573385638056,0.0,0.0,0.0,0.0,Medium
2023-02-13,399.115234375,399.2505975536563,394.67772371985546,395.1417881132916,64913500,2023-02-13,398.9316101074219,-0.0004601841911616467,0.0,0.0,0.0,0.0,Medium
2023-02-14,398.9316101074219,401.26152100489657,394.9388090237567,397.5780962118597,88389300,2023-02-14,400.2270812988281,0.0032420903134205907,0.0,0.0,0.0,0.0,Medium
2023-02-15,400.2270812988281,400.3044106179049,395.86689965424887,396.717669682825,61555700,2023-02-15,394.7164001464844,-0.013864556551093858,0.0,0.0,0.0,0.0,Medium
2023-02-16,394.7164001464844,399.1925901765336,394.5810664725947,395.20946671680116,76431500,2023-02-16,393.73028564453125,-0.0025014120394086163,0.0,0.0,0.0,0.0,Medium
2023-02-17,393.73028564453125,393.9719803089983,390.62690491007976,392.57013945359233,89257800,2023-02-17,385.8316955566406,-0.02026486817635835,0.0,0.0,0.0,0.0,Medium
2023-02-21,385.8316955566406,390.7332704904601,385.5706759373002,389.6698080535747,82655900,2023-02-21,385.29998779296875,-0.0013790325554411107,0.0,0.0,0.0,0.0,Medium
2023-02-22,385.29998779296875,387.8039410623445,383.83046530017316,386.24741202780353,83742300,2023-02-22,387.34954833984375,0.005305291101046197,0.0,0.0,0.0,0.0,Medium
2023-02-23,387.34954833984375,388.83839576375095,383.08605083302564,388.219643248558,96242400,2023-02-23,383.2117614746094,-0.01073977264215106,0.0,0.0,0.0,0.0,Medium
2023-02-24,383.2117614746094,384.0528542573553,380.5627971696402,382.28366214576,108194400,2023-02-24,384.51690673828125,0.003400020280640786,0.0,0.0,0.0,0.0,Medium
2023-02-27,384.51690673828125,387.9586365836898,383.5694529816539,386.5857978345967,80444700,2023-02-27,383.0957946777344,-0.0037026841310210195,0.0,0.0,0.0,0.0,Medium
2023-02-28,383.0957946777344,386.0154561691752,382.9894336628025,384.0335713378203,96438600,2023-02-28,381.626220703125,-0.003843424810810708,0.0,0.0,0.0,0.0,Medium
2023-03-01,381.626220703125,383.511450999788,380.31141581188444,382.2739754241372,99706800,2023-03-01,384.59423828125,0.007747202226541154,0.0,0.0,0.0,0.0,Medium
2023-03-02,384.59423828125,385.4450082711098,379.2962803013244,379.6346587523475,85127800,2023-03-02,390.7623291015625,0.01591066923258105,0.0,0.0,0.0,0.0,Medium
2023-03-03,390.7623291015625,391.01370103305777,385.7737469075466,386.431149416652,90120000,2023-03-03,391.0329895019531,0.0006924073469450786,0.0,0.0,0.0,0.0,Medium
2023-03-06,391.0329895019531,393.91400070480057,390.58827955243476,391.59370817710715,72795900,2023-03-06,385.0389099121094,-0.015447534666126896,0.0,0.0,0.0,0.0,Medium
2023-03-07,385.0389099121094,391.22631667580833,384.4201869379847,390.9846220210933,108310600,2023-03-07,385.6673583984375,0.0016308382361872162,0.0,0.0,0.0,0.0,Medium
2023-03-08,385.6673583984375,386.4310923018348,383.41474758470093,385.154966885639,74746600,2023-03-08,378.55181884765625,-0.018622262811071568,0.0,0.0,0.0,0.0,Medium
2023-03-09,378.55181884765625,388.14227535362267,377.55603808929277,386.4600605599985,111945300,2023-03-09,373.0895690917969,-0.014534446882753238,0.0,0.0,0.0,0.0,Medium
2023-03-10,373.0895690917969,380.09871461859655,371.552394509817,378.00079187237594,189253000,2023-03-10,372.5578308105469,-0.0014262461626156847,0.0,0.0,0.0,0.0,Medium
