Date,Unhedged_Portfolio_Value,Hedged_Portfolio_Value,Daily_Hedge_Ratio,Unhedged_Daily_TC,Unhedged_Cumulative_TC,Unhedged_Portfolio_Value_Net,Unhedged_Portfolio_Return_Net,Hedged_Equity_Daily_TC,Hedged_SPY_Daily_TC,Hedged_Daily_TC,Hedged_Cumulative_TC,Hedged_Portfolio_Value_Net,Hedged_Portfolio_Return_Net
2022-01-06,144182.63989266468,101826.30032655,286.47311635825554,0.0,50.0,144132.63989266468,0.0016795884096918456,0.0,30.547890097965,30.547890097965,11150.094359091037,90676.20596745897,0.002480848203350483
2022-01-07,143997.9600766851,102040.02383286608,277.6193338954856,0.0,50.0,143947.9600766851,-0.0012813184863409433,0.0,30.61200714985982,30.61200714985982,11180.706366240896,90859.31746662519,0.0020193996563104832
2022-01-10,143607.43148728934,101870.93301061454,274.89875347720147,0.0,50.0,143557.43148728934,-0.002712984534047558,0.0,30.561279903184356,30.561279903184356,11211.26764614408,90659.66536447045,-0.0021973762044610323
2022-01-11,145365.53036466276,102240.63158726822,307.6079494905997,0.0,50.0,145315.53036466276,0.01224665877035469,0.0,30.672189476180463,30.672189476180463,11241.939835620262,90998.69175164796,0.003739550392278135
2022-01-12,145614.24514760636,102156.25013419894,304.8396950625632,0.0,50.0,145564.24514760636,0.0017115499101814091,0.0,30.64687504025968,30.64687504025968,11272.586710660522,90883.66342353841,-0.0012640657343018225
2022-01-13,144125.06075491608,102381.52306784048,294.2585258133969,0.0,50.0,144075.06075491608,-0.01023042706112487,0.0,30.71445692035214,30.71445692035214,11303.301167580874,91078.22190025961,0.00214074201448633
2022-01-14,143852.96277149738,102150.946511671,289.7279337442227,0.0,50.0,143802.96277149738,-0.001888584894519374,0.0,30.6452839535013,30.6452839535013,11333.946451534375,90817.00006013663,-0.002868104302794161
2022-01-18,141287.69190399838,102148.33026210673,327.1264505894724,0.0,50.0,141237.69190399838,-0.017838790092073453,0.0,30.644499078632016,30.644499078632016,11364.590950613006,90783.73931149371,-0.00036623923517509205
2022-01-19,139892.8989241637,102188.6590452911,321.844226784484,0.0,50.0,139842.8989241637,-0.009875501086372585,0.0,30.656597713587328,30.656597713587328,11395.247548326593,90793.41149696452,0.00010654094603457231
2022-01-20,138806.58723008583,102482.9724278712,314.12243290181016,0.0,50.0,138756.58723008583,-0.00776808620555669,0.0,30.744891728361356,30.744891728361356,11425.992440054955,91056.97998781624,0.002902947323006444
2022-01-21,136419.91516204458,102606.60917093034,306.8905637791485,0.0,50.0,136369.91516204458,-0.017200423530766784,0.0,30.7819827512791,30.7819827512791,11456.774422806235,91149.8347481241,0.0010197434652488013
2022-01-24,136865.34361166693,102541.357996494,300.4538407710515,0.0,50.0,136815.34361166693,0.0032663249008628714,0.0,30.7624073989482,30.7624073989482,11487.536830205183,91053.82116628882,-0.0010533599111902658
2022-01-25,135535.71007179478,102699.757548371,302.41441583720683,0.0,50.0,135485.71007179478,-0.009718453389600423,0.0,30.809927264511295,30.809927264511295,11518.346757469693,91181.4107909013,0.0014012550267326063
2022-01-26,134941.20845620264,102459.4715577828,266.98429626652256,0.0,50.0,134891.20845620264,-0.004387928551853215,0.0,30.73784146733484,30.73784146733484,11549.084598937028,90910.38695884577,-0.0029723583974483603
2022-01-27,134454.62743897844,102503.29783287304,267.71497973935595,0.0,50.0,134404.62743897844,-0.0036072107500036976,0.0,30.75098934986191,30.75098934986191,11579.835588286891,90923.46224458615,0.00014382609268048796
2022-01-28,137262.61362557847,102468.7712866246,278.95784448201016,0.0,50.0,137212.61362557847,0.020892035044514312,0.0,30.740631385987378,30.740631385987378,11610.576219672877,90858.19506695172,-0.0007178254767603587
2022-01-31,139871.48373309398,102749.92329483986,295.0658556752128,0.0,50.0,139821.48373309398,0.01901334023586565,0.0,30.824976988451954,30.824976988451954,11641.401196661329,91108.52209817852,0.0027551398202698696
2022-02-01,140859.49248886676,102859.2141798637,290.26452412836915,0.0,50.0,140809.49248886676,0.007066215644362606,0.0,30.857764253959107,30.857764253959107,11672.258960915287,91186.95521894841,0.0008608757881658491
2022-02-02,141861.45484069615,102719.41943183004,284.3653862638704,0.0,50.0,141811.45484069615,0.007115730155114575,0.0,30.81582582954901,30.81582582954901,11703.074786744837,91016.3446450852,-0.001870997594486501
2022-02-03,139705.76727654942,103155.2359193946,271.9314807048182,0.0,50.0,139655.76727654942,-0.015201082074563943,0.0,30.94657077581838,30.94657077581838,11734.021357520656,91421.21456187395,0.004448320995174226
2022-02-04,140457.0168010647,103318.02166480356,265.85868481210645,0.0,50.0,140407.0168010647,0.005379294669783485,0.0,30.995406499441064,30.995406499441064,11765.016764020098,91553.00490078346,0.0014415728290322338
2022-02-07,140690.04791411094,103754.84439112022,264.67218671078155,0.0,50.0,140640.04791411094,0.0016596828161117294,0.0,31.126453317336065,31.126453317336065,11796.143217337434,91958.70117378279,0.004431272064078895
2022-02-08,141828.70917534587,103922.40956089649,260.3147274945154,0.0,50.0,141778.70917534587,0.00809628038473309,0.0,31.176722868268943,31.176722868268943,11827.319940205703,92095.08962069078,0.0014831489045310509
2022-02-09,144257.60615391316,104500.6417469812,261.7907829593766,0.0,50.0,144207.60615391316,0.01713160595617591,0.0,31.350192524094357,31.350192524094357,11858.670132729798,92641.97161425141,0.0059382318407317225
2022-02-10,141934.63022127154,104369.28585885954,274.383802875906,0.0,50.0,141884.63022127154,-0.016108553457036878,0.0,31.31078575765786,31.31078575765786,11889.980918487456,92479.30494037208,-0.0017558636873215017
2022-02-11,139086.6048231017,104131.06204826508,299.3470537957358,0.0,50.0,139036.6048231017,-0.02007282532102528,0.0,31.239318614479522,31.239318614479522,11921.220237101936,92209.84181116315,-0.0029137668085056356
2022-02-14,138192.19475084098,103764.66486820253,294.7033984435418,0.0,50.0,138142.19475084098,-0.006432910767626088,0.0,31.129399460460753,31.129399460460753,11952.349636562396,91812.31523164012,-0.004311107922049362
2022-02-15,140345.782556381,103887.96202981847,295.19713937790294,0.0,50.0,140295.782556381,0.015589645216107284,0.0,31.16638860894554,31.16638860894554,11983.516025171342,91904.44600464714,0.00100346857362843
2022-02-16,140567.33297257964,103946.1364517878,300.6977824656372,0.0,50.0,140517.33297257964,0.0015791666161426576,0.0,31.183840935536335,31.183840935536335,12014.69986610688,91931.43658568092,0.0002936809067148882
2022-02-17,137597.74126338342,103979.1872441883,332.20107397835267,0.0,50.0,137547.74126338342,-0.02113327691592115,0.0,31.19375617325649,31.19375617325649,12045.893622280135,91933.29362190817,2.020023069615462e-05
2022-02-18,136811.19108721404,104060.46589589992,332.35284813918116,0.0,50.0,136761.19108721404,-0.005718379443710786,0.0,31.218139768769973,31.218139768769973,12077.111762048904,91983.35413385101,0.0005445308219753642
2022-02-22,135527.96282625748,104199.90436490987,331.2589209747938,0.0,50.0,135477.96282625748,-0.00938298541242033,0.0,31.25997130947296,31.25997130947296,12108.371733358377,92091.5326315515,0.001176066025414535
2022-02-23,132855.49812022402,104026.12010942164,336.7981746436722,0.0,50.0,132805.49812022402,-0.01972619494921657,0.0,31.20783603282649,31.20783603282649,12139.579569391204,91886.54054003043,-0.002225960255664572
2022-02-24,134433.6115520459,103779.34332814308,312.428635313497,0.0,50.0,134383.6115520459,0.011882892306109838,0.0,31.13380299844292,31.13380299844292,12170.713372389648,91608.62995575342,-0.0030244971966915113
2022-02-25,137871.04392547513,104100.18793334471,337.27388703884674,0.0,50.0,137821.04392547513,0.025579252810138398,0.0,31.23005638000341,31.23005638000341,12201.943428769651,91898.24450457506,0.0031614330326905637
2022-02-28,137426.61934028662,104036.77660071009,338.03296338304887,0.0,50.0,137376.61934028662,-0.003224649679977931,0.0,31.211032980213023,31.211032980213023,12233.154461749864,91803.62213896023,-0.0010296427981290046
2022-03-01,134894.15307984757,103761.41432673667,341.6970069448087,0.0,50.0,134844.15307984757,-0.018434477952656847,0.0,31.128424298021,31.128424298021,12264.282886047886,91497.13144068878,-0.003338546901858863
2022-03-02,137702.85739007348,103895.05609100216,350.9899185980238,0.0,50.0,137652.85739007348,0.0208292628643878,0.0,31.168516827300646,31.168516827300646,12295.451402875186,91599.60468812697,0.0011199613127172992
2022-03-03,136914.2407135542,103849.3649716479,350.770248660306,0.0,50.0,136864.2407135542,-0.005729025110496111,0.0,31.154809491494365,31.154809491494365,12326.60621236668,91522.75875928122,-0.0008389329747371388
2022-03-04,135796.5215681965,103910.62413753108,355.8546627792588,0.0,50.0,135746.5215681965,-0.008166626574847902,0.0,31.17318724125932,31.17318724125932,12357.77939960794,91552.84473792314,0.00032872674567263616
2022-03-07,131343.41599113794,103837.67108738916,358.3198132593549,0.0,50.0,131293.41599113794,-0.03280456490239725,0.0,31.151301326216743,31.151301326216743,12388.930700934157,91448.740386455,-0.0011370957589154074
2022-03-08,130424.0143714313,103971.82083765192,360.2148748002017,0.0,50.0,130374.0143714313,-0.007002648326011274,0.0,31.191546251295573,31.191546251295573,12420.122247185453,91551.69859046646,0.0011258569946002162
2022-03-09,133958.7187945955,103783.2065312876,355.312214374709,0.0,50.0,133908.7187945955,0.02711203179717958,0.0,31.134961959386274,31.134961959386274,12451.257209144838,91331.94932214275,-0.0024002751637268727
2022-03-10,133754.30636611293,104137.54873952115,361.5062064612693,0.0,50.0,133704.30636611293,-0.001526505744529838,0.0,31.24126462185634,31.24126462185634,12482.498473766695,91655.05026575446,0.0035376551799204403
2022-03-11,132314.9916148499,104433.40243048251,354.18398352939954,0.0,50.0,132264.9916148499,-0.010764909451172588,0.0,31.330020729144753,31.330020729144753,12513.82849449584,91919.57393598667,0.0028860785026600944
2022-03-14,131737.8717125854,104791.95529503583,354.18429989845504,0.0,50.0,131687.8717125854,-0.004363360971171071,0.0,31.437586588510747,31.437586588510747,12545.26608108435,92246.68921395148,0.0035587118603555012
2022-03-15,134135.90544865647,104387.60639969926,331.9149250849011,0.0,50.0,134085.90544865647,0.018209981715741508,0.0,31.316281919909777,31.316281919909777,12576.58236300426,91811.024036695,-0.004722827246905537
