,Price,SMA,EMA,RSI,MACD,MACD_Signal,ATR
2024-01-12,184.568359375,188.88229217529297,185.59045277378112,29.475110345383882,-1.5902683124388375,-0.8288832744163108,1.5132010323660674
2024-01-16,182.29502868652344,188.16355514526367,185.08346445266454,27.893517098473794,-1.735353492837163,-1.0101773181004814,1.599001203264505
2024-01-17,181.3519287109375,187.42446670532226,184.5093820308604,27.407351347586257,-1.904481156525435,-1.189038085785472,1.6273651123046835
2024-01-18,187.2586669921875,187.06410522460936,184.93234894798763,42.15274279078107,-1.5440922990131298,-1.2600489284310037,2.0421840122767816
2024-01-19,190.16737365722656,186.79706039428712,185.73773736479362,46.77314091165569,-1.0121062829646235,-1.2104603993377276,2.2194573538643954
2024-01-22,192.48045349121097,186.7504020690918,186.77507830731938,52.08717144759088,-0.39925495847239745,-1.0482193111646616,2.3102231706891763
2024-01-23,193.7610626220703,186.7752212524414,187.84984512497337,67.67974796402912,0.18760598093874137,-0.801054252743981,1.913130623953681
2024-01-24,193.08599853515625,186.81989364624025,188.65540718807844,69.50896137877447,0.591408089145915,-0.5225617843660019,1.8627842494419642
2024-01-25,192.75840759277344,186.8754867553711,189.28663801956998,75.2680187614717,0.8749049581307133,-0.24306843586665886,1.7202551705496651
2024-01-26,191.02110290527344,186.83925094604493,189.55347877121667,72.23094719113762,0.9484590546785796,-0.004762937757611157,1.792586190359933
2024-01-29,190.3361358642578,186.74742279052734,189.67388755476145,64.28901458385987,0.9406370124663397,0.18431705228717904,1.530930655343192
2024-01-30,186.67295837402344,186.52455368041993,189.21220614234022,55.832642916321454,0.6315698347318914,0.2737676087761215,1.7628043038504464
2024-01-31,183.0594024658203,186.46300201416017,188.26562096133716,46.73945970765195,0.0939649383057315,0.2378070746820435,1.946460178920201
2024-02-01,185.5015563964844,186.5925537109375,187.84038025905213,52.16650287535049,-0.1334906064573147,0.1635475384541719,2.0783538818359397
2024-02-02,184.49888610839844,186.7881217956543,187.32630423587463,49.88332468027682,-0.39016035133028026,0.05280596049728146,2.126574925013955
2024-02-05,186.31558227539065,187.11075820922852,187.17080854964632,56.85740533985007,-0.4418869774241898,-0.0461326270870128,2.0939581734793586
2024-02-06,187.923828125,187.2963996887207,187.28665771508534,60.9602678330583,-0.3490846710910489,-0.10672303588782002,2.1414685930524593
2024-02-07,188.03302001953125,187.5083480834961,187.4014826850001,51.60102671658911,-0.26368767401737614,-0.13811596351373126,1.727358136858263
2024-02-08,186.95095825195312,187.61407470703125,187.3321712337621,42.80648972423929,-0.2800945247321067,-0.16651167575740636,1.5968835013253388
