Date,Unhedged_Portfolio_Value,Hedged_Portfolio_Value,Daily_Hedge_Ratio
2020-12-17,114800.89694936656,104248.01259886438,362.75206350913686
2020-12-18,114661.31607919474,104523.58029469567,319.7203258296653
2020-12-21,114095.52292653524,104366.93374727452,317.4766990941065
2020-12-22,113664.29580101998,104142.3429847381,318.3875833466147
2020-12-23,113950.32149672337,104305.44344971579,349.2688480156732
2020-12-24,114242.47820646902,104145.34655185061,347.42599978469985
2020-12-28,114527.52236532736,103600.20960579319,294.91451805440903
2020-12-29,113960.85119210184,103266.63961601295,296.0038012297917
2020-12-30,114566.86910579092,103702.13715083181,253.02035799502787
2020-12-31,115446.26911472864,104044.53624379047,283.1481670368745
2021-01-04,113192.68549738788,103606.34957182397,367.6313694864812
2021-01-05,114341.58933336128,103779.07270366413,403.9693540653369
2021-01-06,116170.18801883503,104599.01216559434,448.32068585542453
2021-01-07,117769.33433223772,104171.21907483695,397.6662782516692
2021-01-08,118232.04177776715,103867.93561655408,396.5572427871014
2021-01-11,117809.44677743946,104282.79710408374,372.03851835673925
2021-01-12,118407.76488815586,104785.99915951068,398.8324373847068
2021-01-13,118259.05622007618,104326.01880018025,385.96667822667655
2021-01-14,118411.7255871472,104872.43375831647,375.56686119932726
2021-01-15,117565.7082460025,104984.71836947958,375.48614015240986
2021-01-19,118308.28250314762,104920.78062663529,293.53072012320985
2021-01-20,119183.80928904912,104627.09424459763,243.7243947793674
2021-01-21,118735.2909487972,104166.38723477199,231.10570910274316
2021-01-22,118229.81339487572,103950.65456166747,203.14856595221363
2021-01-25,117840.14561364996,103375.88103715827,184.92058266723896
2021-01-26,117235.1464006748,102945.32131564549,202.00352818478964
2021-01-27,114251.78043804751,102423.52694242292,271.01982137972846
2021-01-28,116102.53770442391,103253.97015671652,308.09237016682926
2021-01-29,114126.79048129242,103369.18545637923,297.53156074680123
2021-02-01,115660.0089059961,103190.49305339978,298.2815528406979
2021-02-02,117361.9508270004,103345.63996856083,306.1170958514237
2021-02-03,117650.7605679334,103520.87674268578,319.39533296770463
2021-02-04,119163.4172971468,103686.8417328079,325.4297088936505
2021-02-05,119598.39957472404,103662.06762625214,324.69634467770663
2021-02-08,120667.84414796876,103837.59858959996,330.35010194519015
2021-02-09,120631.45927803995,103875.14151870686,327.8930802850604
2021-02-10,120813.76008214628,104073.98512186187,305.09176360125997
2021-02-11,121067.30395602812,104142.3581115335,294.5916351397615
2021-02-12,121587.35858649624,104140.02811942078,288.31386939932463
2021-02-16,121555.59497952944,104203.15293916858,330.49248431704467
2021-02-17,121589.75739199872,104207.74205908361,340.69461225682113
2021-02-18,120955.64895638808,104148.16144336713,359.76664636299034
2021-02-19,121631.90605648582,104893.49333173037,294.43572190892127
2021-02-22,121361.93254017322,105267.50588413178,251.21612536372248
2021-02-23,121269.69683959243,105118.00548124421,181.24496565808167
2021-02-24,122680.58471527963,105462.85331370884,252.8578492227877
2021-02-25,119914.21023560084,105421.73053014916,307.23053486259903
2021-02-26,119506.35821595372,105563.75890913901,308.4088773714543
2021-03-01,121965.71484467418,105497.60673634168,291.7267007504596
2021-03-02,121200.94964525124,105558.0251458192,292.885165088866
2021-03-03,119946.5488742915,105691.62050920367,293.7354475849902
2021-03-04,118118.31436366391,105264.81290678997,302.3871967852066
2021-03-05,120146.79249326128,105325.67840241236,300.9242914731125
2021-03-08,119784.5593659654,105487.31440142091,305.4410270305039
2021-03-09,120999.508300895,105206.44870190835,298.5592521433746
2021-03-10,121990.7557617643,105482.01050760203,298.62307806739426
2021-03-11,123427.41045333308,105769.76393406521,298.14599236908344
2021-03-12,124010.13778849615,106141.96444741871,299.2598790364399
2021-03-15,125200.82082185592,106566.4214063516,316.03824654245005
2021-03-16,124259.77538445436,105895.42813316353,323.2384207589554
2021-03-17,124753.73020355296,105948.22177687474,341.05320932290164
2021-03-18,122940.602855136,105888.41234365682,321.1581720648934
2021-03-19,122670.4722664777,105849.04054069,329.91582094948296
2021-03-22,123212.23566846349,105489.48500759683,326.0297427540686
2021-03-23,121904.07831490348,105295.03112119048,370.386950755041
2021-03-24,121832.8060386727,105792.90385211489,348.8528897149665
2021-03-25,122665.7091065234,105902.589320956,344.52976565839526
2021-03-26,125063.60850310794,106110.18186033,365.95842805429965
2021-03-29,124916.40574249064,106042.39420059192,356.92770715588995
2021-03-30,124615.69127172673,106082.67678820515,352.13190199161414
2021-03-31,124884.38333057574,105865.78913165623,346.6987702804046
2021-04-01,126317.0669958038,105870.34627679191,354.2858505534813
2021-04-05,127410.83963704112,105344.58855096807,315.9974862660895
2021-04-06,127419.4847850577,105411.8063335959,321.6211255770262
2021-04-07,127275.87526557132,105183.00562409504,299.6818468617783
2021-04-08,127496.5244459327,104864.32313862964,332.493265716825
2021-04-09,128249.93770606972,104721.8018796932,330.8084328262638
2021-04-12,128282.0698453847,104717.91231765006,261.0921325766169
2021-04-13,128636.34628622238,104765.19490988398,257.8539627915674
2021-04-14,128769.88234539203,105111.10955591536,220.2437406740007
2021-04-15,129842.638592999,105226.33974227947,223.2333453879166
2021-04-16,130306.3693210403,105397.82560221868,192.61163434806298
2021-04-19,129552.53790871412,105168.94782638413,243.63829122256703
2021-04-20,128374.8893205412,104873.72861496746,283.76148810785224
2021-04-21,129608.41258067117,104992.95949666081,296.107859717777
2021-04-22,129044.3532455316,105324.33101381478,273.19446508308033
2021-04-23,130495.52224473371,105521.76498592932,287.3363022673559
2021-04-26,130817.52426479584,105592.07457377722,286.93678944106546
2021-04-27,130927.06362608848,105700.14274964787,287.57760686458965
2021-04-28,130796.25434785048,105621.94241331244,300.0881468820966
2021-04-29,131534.31519328128,105588.34222961825,310.95446946369094
2021-04-30,130541.86281338568,105457.75672475305,318.8765608992014
2021-05-03,130948.38371794182,105570.87007039845,314.73372836924216
2021-05-04,130213.65538334416,105564.11295802888,299.0769751580657
2021-05-05,130406.5992031502,105691.23971096588,295.5313363942937
2021-05-06,130490.19211296018,105045.55962845554,279.4376084482064
2021-05-07,131931.96435641794,105531.90121980927,292.65652972488203
2021-05-10,131245.0288695864,105791.08952686557,257.9901617870952
2021-05-11,130117.48616598477,105648.0758846456,270.5209002891392
2021-05-12,127188.02386394764,105373.0118510863,312.1495367579919
2021-05-13,128374.77513786344,105203.3733217947,302.5490516973563
2021-05-14,130343.96197038892,105322.21653519786,307.4067653962829
2021-05-17,129926.36923958288,105232.47647917747,306.8171259231614
2021-05-18,128997.2045399216,105313.10982677594,305.5266953842728
2021-05-19,128561.26271895716,105210.79876892435,305.12471720169276
2021-05-20,129953.93919605094,105247.0068582242,323.9166254619433
2021-05-21,130046.73989115156,105403.97397668326,315.93719303614574
2021-05-24,131076.6714966171,105199.12933716635,321.20693545920176
2021-05-25,130709.36391989904,105131.2794765513,322.5802487100085
2021-05-26,131034.997245322,105202.87150841,302.79425594647677
2021-05-27,131639.6491905891,105637.02457038293,309.65530401341925
2021-05-28,131811.4311848428,105604.88955232756,299.6888269161788
2021-06-01,132061.49274832115,105886.18185227137,290.68634580447906
2021-06-02,132314.1287332434,105947.47367172626,283.5269537235006
2021-06-03,131932.46182983325,105964.67992469117,274.602320593097
2021-06-04,132636.8300282856,105902.87015768418,215.76751147041364
2021-06-07,132435.9963503296,105812.18960786301,225.826950455748
2021-06-08,132399.11484947288,105768.00713532505,216.9858629870489
2021-06-09,131905.46712751483,105479.33338427014,222.42991015275612
2021-06-10,132541.644863399,105642.68396903375,233.99849004468408
2021-06-11,132881.62142189514,105786.11894172743,242.88723310565305
2021-06-14,132740.04038833771,105505.87451280875,234.42429238814807
2021-06-15,132800.81222676282,105690.61129691383,234.186548668745
2021-06-16,132026.09464642164,105521.78048504014,251.9550014582616
2021-06-17,131428.0726415415,105071.87503665904,265.0903880873006
2021-06-18,129520.37178023432,104952.52682660898,327.60706833962075
2021-06-21,131570.77843286542,105003.82644551015,354.52806237369583
2021-06-22,131909.40615320997,104686.4610118073,345.34528283997224
2021-06-23,131703.55509165497,104654.21286678014,342.67754398691255
2021-06-24,132468.27855605827,104619.61070003625,342.080128277869
2021-06-25,133146.95096104755,104766.66646246328,345.68682494145116
2021-06-28,132927.19320735196,104372.59516342184,344.5552072903601
2021-06-29,132882.2794823615,104277.46228984525,350.4968849681438
2021-06-30,133017.19026364264,104288.22266335036,356.3724683122662
2021-07-01,133705.72853998144,104211.5943551259,350.94434224233737
2021-07-02,134233.7941311925,103771.20504674697,350.3004775485137
2021-07-06,133465.96112368637,103365.37658359329,324.05378757554814
2021-07-07,133868.9400209652,103296.31780405543,340.21642602242696
2021-07-08,132467.24587068747,103138.29694700094,356.9579301443419
2021-07-09,134279.9970654755,103223.85192595565,392.91572726310255
2021-07-12,134558.352741168,102997.78778849872,387.70615616888904
2021-07-13,133479.18549409485,102604.40389538086,399.5876545252336
2021-07-14,132982.22404778065,102031.9555244826,401.22031613826397
2021-07-15,132801.1928035813,102297.91499825449,375.5222330988638
2021-07-16,131974.363885541,102495.97252871175,336.93114272544415
2021-07-19,129690.1124929873,102391.10523467792,356.1121712072415
2021-07-20,132090.8789658415,102558.06504431211,381.98144142140114
2021-07-21,133651.87904697354,102765.33420295268,393.8206567624602
2021-07-22,133674.2607182117,102524.09430026863,390.14237428770485
2021-07-23,134795.75256499613,102186.57939133942,368.15651675491307
2021-07-26,135270.06129487843,102259.28375922097,371.1815460069137
2021-07-27,135071.84233532567,102616.81921556061,354.4720878058375
2021-07-28,135282.455760371,102822.83743446002,356.67043765348103
2021-07-29,136329.83435013838,103145.13405590609,363.73510878554015
2021-07-30,135956.97738785876,103421.84126295823,366.01023041989833
2021-08-02,135927.80955700207,103618.03316948812,330.821151581081
2021-08-03,137148.24395368868,103808.87865134428,288.59793439263285
2021-08-04,136368.18994651944,103661.28704573865,285.09229609896613
2021-08-05,137107.8391665818,103663.53663677703,280.17204417522294
2021-08-06,137578.5037110665,103858.64654026904,308.7554505366166
2021-08-09,137463.33338457422,103851.98001451668,312.59050888281604
2021-08-10,137600.78460535812,103827.54917915618,326.59798237598943
2021-08-11,138361.74946933493,104139.3688755893,335.5421760792963
2021-08-12,138382.20563942732,103866.08632473854,304.27809730382194
2021-08-13,138544.17495573364,103801.7205735936,323.4393266284774
2021-08-16,138656.84155654456,103631.94478706415,341.40142920176936
2021-08-17,137823.27061763246,103649.1452165015,309.5363480439927
2021-08-18,136282.18069743807,103576.67105071817,314.50104258500517
2021-08-19,136071.60910109893,103264.83280053722,309.8855703508474
2021-08-20,136889.50434417257,103147.40253223143,293.50411197155495
2021-08-23,138029.54533133004,103164.06228897934,303.19269037342974
2021-08-24,138722.5321202325,103529.14700517428,305.8721990855688
2021-08-25,139292.19596646103,103753.1274769049,304.0547618502392
2021-08-26,138349.05396096417,103637.92447345653,314.58592266221603
2021-08-27,139780.5565429639,103785.59381018358,327.83517726512673
2021-08-30,139733.57642429875,103309.1913127986,316.3101398348859
2021-08-31,139757.6215187886,103474.79395822556,316.3333781562781
2021-09-01,139460.64297964514,103201.73043786791,315.9593184210543
2021-09-02,140171.27963118168,103426.08618223404,310.82160016827146
2021-09-03,140076.33436073145,103381.39563750084,330.5867418085101
2021-09-07,138905.2088320934,102954.74917887135,385.5327786156851
2021-09-08,139002.45020485952,103168.88881951562,369.49125718971396
2021-09-09,138640.87698832795,103359.51300247108,339.6323053614447
2021-09-10,137562.4359159745,103371.61339025627,327.2700407559171
2021-09-13,137993.32467008353,103460.08678030873,290.8565911619069
2021-09-14,137056.52472554945,103396.08689516992,373.3498951781112
2021-09-15,138668.53664294482,103538.63999024442,407.2787480237798
2021-09-16,138533.81554098663,103645.52617125881,414.4537612852765
2021-09-17,137429.63020865264,103969.54002209828,374.1202393918915
2021-09-20,135170.08750331184,104152.11862037958,358.51129075792466
2021-09-21,135053.4652451406,104169.36432115763,357.69569999759153
2021-09-22,136492.17625108195,104199.95666161788,349.20213852587716
2021-09-23,138197.93375839823,104181.2937559475,343.1683904132091
2021-09-24,138415.8259199488,104167.35851244707,341.59897060206976
2021-09-27,138308.5718054309,104394.86809524754,340.91358166416836
2021-09-28,135952.05033239457,104671.49958313353,323.03405186075383
2021-09-29,136207.5852112282,104701.70489948399,312.61640959392344
2021-09-30,134401.72738935184,104549.69688593605,319.1205400966058
2021-10-01,136002.85538999128,104591.0229501499,320.18365385404564
2021-10-04,134387.3099238608,104639.21220329122,316.434357559996
2021-10-05,135902.88656784655,104771.4272138374,318.56634011708024
2021-10-06,136255.93940273396,104630.46339066516,313.5574566792089
2021-10-07,137278.30784073976,104572.36305336763,307.6959457279422
2021-10-08,137007.529295525,104544.04986909857,307.9627310394623
2021-10-11,136380.49481072224,104765.70870766012,306.13845454682956
2021-10-12,136325.96403152822,104970.56037634076,317.30283232070605
2021-10-13,136971.13921047398,105104.24973724691,319.2110639045408
2021-10-14,139492.60237288036,105348.42094358432,317.99081324779166
2021-10-15,140214.8777640543,105140.28645688378,311.58614050588346
2021-10-18,140250.0732772531,104875.45537000216,309.4968745391539
2021-10-19,141550.03206108062,105093.4201281519,308.82964837739115
2021-10-20,142463.88140139423,105386.98953158048,309.75168081894105
2021-10-21,142788.33282006314,105365.21990936132,316.2145661670087
2021-10-22,143344.20221029365,105872.64980204216,297.19938996570306
2021-10-25,143527.84980773195,105499.33266139723,297.90861749520036
2021-10-26,143609.65626036882,105469.4119758084,315.12865404008187
2021-10-27,141670.03634485754,104620.01650160197,405.1869760588558
2021-10-28,142832.8896684559,104266.28921777474,394.8358378521778
2021-10-29,142765.7909058174,103947.88003355391,417.58494701762606
2021-11-01,143173.63378627127,104020.40397012176,412.05107460923665
2021-11-02,144055.76169456425,104138.66614308993,408.83127482373084
2021-11-03,144636.92570546913,103820.24299005179,381.3593522605983
2021-11-04,144614.06323182493,103259.77595017721,363.3122868947189
2021-11-05,145858.32590203587,103659.34755831164,448.07802625440564
2021-11-08,146284.45885585973,103842.50335239136,445.0743937839626
2021-11-09,146432.73598861703,104322.23616562429,360.5606220809228
2021-11-10,145232.073069923,104132.22870190539,261.9767371600875
2021-11-11,145372.25569482666,104205.54483075242,266.8816996143279
2021-11-12,146387.40286805312,104293.19780389934,268.9478586725595
2021-11-15,146371.49233552514,104252.45333916933,271.92663988780146
2021-11-16,146507.10933945322,104035.49074674587,250.25760144897532
2021-11-17,145875.98689501898,103800.26984509292,276.9543882580455
2021-11-18,145541.8769876898,103259.65439903383,280.7957982325408
2021-11-19,144397.53507129243,102599.3125000097,266.6182286501513
2021-11-22,143753.09054717454,102376.86018942091,264.3777462168313
2021-11-23,144252.09047090888,102603.24307146107,308.84594442113473
2021-11-24,144369.0043983631,102396.54485868299,343.2489508324949
2021-11-26,140784.5573347272,102202.05066736601,332.6388237152805
2021-11-29,142062.8961289009,101893.0830539766,318.2467160412828
2021-11-30,138515.84932613824,101404.61999721713,332.54319647065967
2021-12-01,136621.36375677728,101183.3066151895,331.05092615420847
2021-12-02,139706.92405143782,101675.64529194018,372.7271899319356
2021-12-03,138569.37027422257,101879.73347007102,376.03077947436515
2021-12-06,140409.8017537574,101821.74893226594,377.54285894518256
2021-12-07,143031.6170446521,101374.53982990507,359.2623550828066
2021-12-08,143356.2778065262,101305.65455107533,358.72406849486765
2021-12-09,142114.1602307358,101191.48240094064,358.8667518064481
2021-12-10,142818.5329999307,100635.5192710971,355.28198331257863
2021-12-13,141686.8144217586,100831.47223161177,356.95652639058454
2021-12-14,140883.96697307884,100989.47663980212,337.2016905448153
2021-12-15,142750.5135125972,100753.67450136326,319.1265548302511
2021-12-16,142384.8312663205,101259.6293562188,276.89404007505965
2021-12-17,141437.6057293995,101479.89443843384,268.15505479230933
2021-12-20,139869.66413819708,101244.57067938699,266.4156823921263
2021-12-21,142612.1865802697,101656.14345602362,283.3276685598773
2021-12-22,143805.03401034258,101622.23689438436,281.1503919227824
2021-12-23,144879.0831116588,101840.11288505545,276.9374884262546
2021-12-27,146666.04372645885,101837.95413800006,282.013971106317
2021-12-28,146367.23100113758,101702.64801917224,279.7884909575874
2021-12-29,146509.41937700636,101689.23479401799,278.1654993622381
2021-12-30,146164.89329782972,101699.07930020323,285.7540622780788
2021-12-31,145996.63108266416,101822.99349495218,303.8025073585886
2022-01-03,146018.2036548726,101256.832200607,316.7427031500838
2022-01-04,146624.49815524372,101708.74888483314,299.55810654855986
2022-01-05,143940.96230012598,101571.42721280303,285.18034365876457
2022-01-06,144182.63989266468,101826.36673302305,286.47443799401833
2022-01-07,143997.9600766851,102040.09206976806,277.62069810618686
2022-01-10,143607.43148728934,101870.99605221009,274.90095979016826
2022-01-11,145365.53036466276,102240.676026019,307.60985469738114
2022-01-12,145614.24514760636,102156.3061395754,304.84149529836054
2022-01-13,144125.06075491608,102381.59258445213,294.26019356710907
2022-01-14,143852.96277149738,102151.00937234,289.7294986852164
2022-01-18,141287.69190399838,102148.39159719515,327.12617652082054
