date,alpha,beta,r_squared,alpha_pvalue,beta_pvalue,alpha_stderr,beta_stderr,residual_std,alpha_annualized_pct,beta_regime
2024-10-18,0.001647604746208492,-0.13835196507713562,0.06278753241787229,0.12215728131415671,0.053477990127672285,0.0010502976099181845,0.07018651135359427,0.007986139505830735,41.51963960445399,
2024-10-21,0.0013636800262258417,-0.1346168900113696,0.059760706750502525,0.19820220208326544,0.05977948043827834,0.0010477016669423983,0.07011273233123892,0.007957942573653015,34.36473666089121,
2024-10-22,0.0013599108339915665,-0.13670395956688738,0.06276584463757724,0.20000805628198948,0.05352061611144534,0.0010490748450106527,0.06936325450225357,0.00795933453550111,34.26975301658748,
2024-10-23,0.0012698725250549242,-0.13102369621905338,0.05617628215436318,0.2346116517425425,0.06824740103780169,0.001057297259614868,0.070518781053138,0.008016489521690229,32.00078763138409,
2024-10-24,0.0011825255607820378,-0.13077743446366288,0.058766081781858506,0.2660925417883673,0.062013832564600954,0.0010530680681560863,0.0687233360585212,0.007969406604531881,29.799644131707353,
2024-10-25,0.0013358758320368186,-0.1333600300872217,0.06318594108827,0.201854584202247,0.052701132428728786,0.0010348275446611039,0.06742611838040427,0.00782497759083089,33.66407096732783,
2024-10-28,0.0016863563803608806,-0.1252412618994474,0.06268890282619115,0.08962972838613692,0.053672122988711,0.000976901045140243,0.06358870535405807,0.007403710723738908,42.49618078509419,
2024-10-29,0.002086318379055087,-0.12088833263064468,0.07224965914662282,0.02018427869897632,0.03783393643708112,0.0008734233905554049,0.05688110842711782,0.006622373418954171,52.57522315218819,
2024-10-30,0.0018697121233182687,-0.13881934933452406,0.09540521888060984,0.03199883392573444,0.01633864742234307,0.0008508722567274264,0.05612766567667899,0.006458295067138535,47.11674550762037,
2024-10-31,0.0018553201373871506,-0.13835107956754647,0.094283500009933,0.03381133373977807,0.017015372298314416,0.0008534730854755251,0.05630498502558865,0.00647846274925085,46.75406746215619,
2024-11-01,0.0015790056852251094,-0.12748163825387546,0.09181897527173799,0.05289545588382816,0.01860241410792167,0.0007990134667732307,0.052644575748796094,0.006056461897041966,39.79094326767276,
