Date,Price,SMA,EMA,RSI,MACD,MACD_Signal,ATR
2021-08-17,147.19898986816406,144.08463516235352,144.96280891136894,74.0880280619508,2.1157682888514273,2.1088645696392505,0.7885981968470982
2021-08-18,143.44525146484375,144.14233779907227,144.72933853498046,53.24837659361293,1.837985998216567,2.054688855354714,1.0105863298688615
2021-08-19,143.77850341796875,144.14819946289063,144.58305620928635,53.63491192548883,1.625988792433219,1.968948842770415,1.0190113612583704
2021-08-20,145.23880004882812,144.14095764160157,144.68393987690817,59.19261886400447,1.5578552280568942,1.8867301198277109,1.099550519670759
2021-08-23,146.72854614257812,144.18716278076172,144.99849468701123,58.35142533987006,1.6055610386246428,1.8304963035870974,1.0773424421037947
2021-08-24,146.64035034179688,144.33758392333985,145.25108786467055,59.5882634312345,1.6176048315869025,1.7879180091870586,1.054980686732701
2021-08-25,145.40545654296875,144.51384811401368,145.27483689210104,54.685767763299985,1.5100965619888598,1.7323537197474188,1.1354991367885046
2021-08-26,144.60177612304688,144.6176330566406,145.1712890814773,54.2840400748903,1.3445461000366379,1.6547921958052627,1.143902369907924
2021-08-27,145.64065551757812,144.76259689331056,145.2434993024159,57.233385588235556,1.282392429409498,1.5803122425261098,1.2146094185965401
2021-08-30,150.07064819335938,145.14569778442382,145.98613759333028,67.58647306409566,1.5724721040014344,1.5787442148211748,1.496734619140625
2021-08-31,148.8063507080078,145.37555084228515,146.4200165340499,63.31994133736089,1.680966954448536,1.5991887627466472,1.5688400268554688
2021-09-01,149.47279357910156,145.6587890625,146.88967454098093,59.02292168875739,1.7999772577128965,1.6393464617398972,1.404325212751116
2021-09-02,150.59010314941406,145.9925109863281,147.45897124997066,60.83851922178295,1.9618364951362537,1.7038444684191685,1.4694322858537947
2021-09-03,151.2271270751953,146.39238586425782,148.03868753077447,58.10385420196174,2.1171089003577777,1.7864973548068903,1.373518807547433
2021-09-07,153.56954956054688,146.9118309020996,148.88958938150867,65.4174898540235,2.4014943858971662,1.9094967610249456,1.475726536342076
2021-09-08,152.02101135253906,147.37786102294922,149.37134660782104,73.23428127312489,2.473405956140823,2.022278600048121,1.3182122366768974
2021-09-09,151.00173950195312,147.78018646240236,149.62217628384136,68.86850060266704,2.4202505321409262,2.1018729864666823,1.3672136579241072
2021-09-10,146.00328063964844,147.7841064453125,149.06542310781168,51.685425765036825,1.952285882929914,2.0719555657593287,1.6199395315987724
2021-09-13,146.57177734375,147.806160736084,148.68178529795603,49.63974287585751,1.6087488050099523,1.9793142136094535,1.554136003766741
2021-09-14,145.1702423095703,147.65914764404297,148.14154791512746,46.813981773773364,1.2094591394684926,1.8253431987812614,1.6479459490094865
2021-09-15,146.06210327148438,147.602303314209,147.82163335456698,51.444563200395294,0.9539879495876278,1.6510721489425348,1.623443603515625
2021-09-16,145.82684326171875,147.72138290405275,147.51474257105187,52.76416684569749,0.7241936211288476,1.4656964433797974,1.5828421456473214
2021-09-17,143.15121459960938,147.69001846313478,146.84343057544532,44.7693215263573,0.3224619477677493,1.237049544257388,1.6997528076171875
2021-09-20,140.0933837890625,147.4327476501465,145.80496183907874,27.75353088314948,-0.23988939314585878,0.9416617567767386,1.6017412458147322
2021-09-21,140.57362365722656,147.1250015258789,145.00014058033224,30.978268533795884,-0.6394345352258313,0.6254424983762247,1.5457371303013392
2021-09-22,142.9454345703125,146.94025573730468,144.68403196340614,36.020204146059136,-0.7559771858374518,0.3491585615334894,1.6675491333007812
2021-09-23,143.90589904785156,146.86527786254882,144.564319207167,35.58745650468775,-0.7620521567883145,0.12691641786912863,1.6563459123883928
2021-09-24,143.99412536621094,146.83489532470702,144.47659707778914,34.026088163813284,-0.7510893974443604,-0.0486847451935692,1.6171460832868303
2021-09-27,142.47499084472656,146.67661209106444,144.16865765731797,24.57330937631795,-0.8551254378779731,-0.20997288373045,1.5583398001534599
2021-09-28,139.0839080810547,146.1272750854492,143.386388491739,22.65958352466501,-1.1974038616686755,-0.4074590793180951,1.6899501255580358
2021-09-29,139.98556518554688,145.68623580932618,142.863184906171,26.602835831343484,-1.3799980273951462,-0.6019668689335054,1.681549072265625
