Date,Signal_Weighted_Return,Equal_Weight_Return,Signal_Weighted_Value,Equal_Weight_Value,Signal_Cumulative_Return,Equal_Cumulative_Return
2022-06-09,-0.02436052233689651,-0.024360522336896517,116801.96546014093,139287.67163853496,0.16801965460140922,0.3928767163853495
2022-06-10,-0.028279691741095056,-0.028279691741095056,113498.84188217412,135348.65922126232,0.13498841882174117,0.35348659221262313
2022-06-13,-0.0424118682008124,-0.042411868200812414,108685.1439593225,129608.26972521347,0.08685143959322494,0.29608269725213465
2022-06-14,-0.006550631642972641,-0.006550631642972643,107973.18761618152,128759.25369236054,0.0797318761618151,0.2875925369236054
2022-06-15,0.0139145984993307,0.013914598499330709,109475.59117055358,130550.88701056321,0.09475591170553588,0.3055088701056321
2022-06-16,-0.03498610410413275,-0.03498610410413279,105645.46674099912,125983.42008672476,0.05645466740999128,0.2598342008672476
2022-06-17,0.0074422441776576176,0.007493349855399486,106431.70610074826,126927.45792941436,0.06431706100748258,0.26927457929414356
2022-06-21,0.022019394103322504,0.02201939410332251,108775.26778246961,129722.32364809501,0.0877526778246962,0.29722323648095017
2022-06-22,-0.0021455360318998994,-0.0021455360318998994,108541.88652606276,129443.99972856624,0.08541886526062759,0.2944399972856624
2022-06-23,0.009292357915813157,0.00944910915896609,109550.4965845205,130667.13021197464,0.09550496584520496,0.30667130211974647
2022-06-24,0.03419386830414434,0.034193868304144365,113296.45183738519,135135.14485412338,0.13296451837385193,0.3513514485412339
2022-06-27,-0.003984315284741332,-0.003984315284741333,112845.04305262255,134596.7238309754,0.1284504305262255,0.34596723830975384
2022-06-28,-0.017535792150467886,-0.017628216494005117,110866.21583244116,132224.02364389913,0.10866215832441162,0.32224023643899136
2022-06-29,-0.00872543520112219,-0.006845998717123651,109898.85985020155,131318.81814766006,0.09898859850201558,0.31318818147660066
2022-06-30,-0.008517480489473985,-0.008719827037354876,108962.79845561204,130173.74076666261,0.08962798455612031,0.30173740766662616
2022-07-01,0.011690544902557635,0.01169054490255764,110236.6329436657,131695.5427282292,0.10236632943665702,0.31695542728229187
2022-07-05,-0.00032956132191433256,-0.0003295613219143323,110200.30321318941,131652.14097107746,0.1020030321318941,0.3165214097107747
2022-07-06,-0.0005667815579834605,-0.0005667815579834612,110137.84371364399,131577.522965506,0.1013784371364399,0.31577522965506
2022-07-07,0.016386361738145838,0.01638636173814584,111942.60226179514,133733.599853428,0.11942602261795132,0.33733599853427987
2022-07-08,-0.0021364261102705937,-0.0021364261102705937,111703.44516347139,133447.88789888064,0.11703445163471393,0.33447887898880646
2022-07-11,-0.011169041805368018,-0.01116904180536802,110455.82471463695,131957.40286009997,0.10455824714636952,0.3195740286009998
2022-07-12,-0.006035659474454101,-0.0060356594744541015,109789.15096968942,131160.9529113031,0.0978915096968942,0.31160952911303097
2022-07-13,-0.0063676402380588,-0.006367640238058803,109090.05315427252,130325.76714988293,0.09090053154272515,0.3032576714988293
2022-07-14,-0.008207008148917505,-0.008207008148917507,108194.75019906956,129256.18251686993,0.08194750199069567,0.2925618251686992
2022-07-15,0.021442904719404052,0.021442904719404073,110514.75991872794,132027.81052297304,0.10514759918727945,0.3202781052297303
2022-07-18,-0.0060358704150910705,-0.006022049292293687,109847.70714890362,131232.7325400501,0.09847707148903617,0.31232732540050123
2022-07-19,0.03090072832637359,0.030900728326373594,113242.08130478693,135287.91955579785,0.13242081304786923,0.3528791955579784
2022-07-20,0.007357258933516682,0.0073572589335166826,114075.23261911658,136283.26781054662,0.14075232619116584,0.36283267810546627
2022-07-21,0.005883044662461012,0.005883044662461012,114746.34230749548,137085.0283618222,0.14746342307495475,0.3708502836182219
2022-07-22,-0.00819320997793322,-0.00843703536502872,113806.20143077036,135928.43712951755,0.1380620143077036,0.35928437129517543
2022-07-25,0.0031276942036528926,0.003127694203652892,114162.15242732513,136353.57971443914,0.14162152427325125,0.3635357971443913
2022-07-26,-0.010263646671136911,-0.01026364667113691,112990.43243159459,134954.09474990543,0.1299043243159459,0.3495409474990543
2022-07-27,0.027438483115761383,0.027438483115761386,116090.71850411147,138657.03040010357,0.1609071850411148,0.38657030400103576
2022-07-28,0.01485145875154091,0.014851458751540914,117814.83502141203,140716.28956770187,0.17814835021412034,0.4071628956770186
2022-07-29,0.011763782525046021,0.011763782525046031,119200.78311882811,142371.64539590775,0.19200783118828113,0.4237164539590774
2022-08-01,-0.004265753726690809,-0.0042657537266908106,118692.3019340145,141764.32301898504,0.186923019340145,0.4176432301898505
2022-08-02,-0.0022144480721155374,-0.002214448072115539,118429.46399482177,141450.3932871809,0.1842946399482177,0.414503932871809
2022-08-03,0.015532740300263349,0.015532740300263357,120268.99810295273,143647.5055114808,0.2026899810295273,0.436475055114808
2022-08-04,0.002864592974881949,0.00286459297488195,120613.51983001451,144058.99714662827,0.20613519830014515,0.44058997146628265
2022-08-05,0.004536514824400165,0.004536514824400168,121160.68485074645,144712.52292277216,0.21160684850746447,0.44712522922772147
2022-08-08,0.0016783240612993076,0.0016783240612993089,121364.03174341495,144955.39743196478,0.21364031743414946,0.4495539743196477
2022-08-09,-0.0046645568173557085,-0.0046645568173557085,120797.92232176443,144279.24474466103,0.20797922321764428,0.4427924474466103
2022-08-10,0.024271350256465925,0.02427135025646594,123729.85100468934,147781.09682859707,0.2372985100468934,0.4778109682859708
2022-08-11,0.0017833605603588799,0.001783360560358881,123950.50594111017,148044.64380824775,0.23950505941110167,0.48044643808247756
2022-08-12,0.021115326980616182,0.019086434521252832,126567.7614034695,150870.28820851608,0.26567761403469503,0.5087028820851609
2022-08-15,-0.0002032587366945391,0.002751462793439073,126542.03540018036,151285.40219315724,0.26542035400180364,0.5128540219315723
2022-08-16,0.0005717324065707196,0.0020407111418704028,126614.38358261208,151594.13199901514,0.2661438358261208,0.5159413199901515
2022-08-17,-0.009458042614525625,-0.009477054106650097,125416.85934707582,150157.46620780983,0.25416859347075826,0.5015746620780983
2022-08-18,0.0036535242222744107,0.0036535242222744146,125875.07288058195,150706.0701477554,0.2587507288058195,0.5070607014775541
2022-08-19,-0.014947236330221814,-0.014947236330221818,123993.588418152,148453.43090085793,0.23993588418152,0.4845343090085792
2022-08-22,-0.02038558500410494,-0.01990696336851596,121465.90658148976,145498.17388998406,0.2146590658148977,0.4549817388998405
2022-08-23,0.0005401486017471954,-0.0020432324916183618,121531.51622108971,145200.8872936209,0.21531516221089708,0.45200887293620906
2022-08-24,0.00369105029787018,0.0042006995715704945,121980.09516023818,145810.83259866686,0.21980095160238178,0.45810832598666873
2022-08-25,0.01682385287243929,0.015610970738688532,124032.27033458017,148087.08123974846,0.24032270334580175,0.4808708123974845
2022-08-26,-0.03639268599365769,-0.033338201986663415,119518.40286721334,143150.1242137623,0.19518402867213336,0.431501242137623
2022-08-29,-0.01631903505157631,-0.006493905785794605,117567.97786151487,142220.52079389335,0.17567977861514872,0.42220520793893335
2022-08-30,-0.012915202817812109,-0.009781144970556847,116049.56358255337,140829.44126222018,0.1604956358255336,0.4082944126222017
2022-08-31,-0.00683383230877104,-0.0068338323087710415,115256.50032552413,139867.03647649623,0.15256500325524125,0.3986703647649623
2022-09-01,0.0008316842790533924,0.0008316842790533929,115352.35734490359,139983.36169189154,0.1535235734490359,0.3998336169189154
2022-09-02,-0.009132821803774147,-0.00913282180377415,114298.8648206273,138704.91859406623,0.142988648206273,0.3870491859406622
2022-09-06,-0.0015920044653641443,-0.0015920044653641452,114116.9005174468,138484.0997442965,0.14116900517446807,0.38484099744296496
2022-09-07,0.021127950792373458,0.021127950792373465,116527.95677615759,141409.98498922013,0.16527956776157593,0.4140998498922013
2022-09-08,0.009583758343937232,0.009583758343937241,117644.73255421306,142765.2241127766,0.1764473255421306,0.4276522411277661
2022-09-09,0.015097631643328373,0.015097631643328384,119420.88939109446,144920.64087790853,0.19420889391094454,0.44920640877908524
2022-09-12,0.009060432057828431,0.008649500499947792,120502.89424570791,146174.13203363479,0.20502894245707903,0.46174132033634785
2022-09-13,-0.03978322059120597,-0.03978322059120599,115708.90102205213,140358.85429421262,0.15708901022052135,0.4035885429421262
2022-09-14,0.003383366051891773,0.0033833660518917752,116100.38658967185,140833.7396769141,0.16100386589671856,0.4083373967691408
2022-09-15,-0.010608011065727662,-0.010608011065727667,114868.79240399337,139339.7738079936,0.1486879240399337,0.39339773807993605
2022-09-16,-0.009775843737387244,-0.009775843737387246,113745.85303914954,137977.60995284375,0.13745853039149547,0.3797760995284374
2022-09-19,0.0058213726484274,0.0058213726484273995,114408.01003690368,138780.82903751862,0.14408010036903685,0.38780829037518627
2022-09-20,-0.013801367237400202,-0.013801367237400204,112829.02307548422,136865.46385046098,0.12829023075484214,0.36865463850460967
2022-09-21,-0.01709043475592663,-0.017090434755926635,110900.7260180377,134526.373570185,0.1090072601803771,0.34526373570185
2022-09-22,-0.015265929191724576,-0.015265929191724585,109207.72338733551,132472.7034768431,0.09207723387335509,0.324727034768431
2022-09-23,-0.018084581689357792,-0.0180845816893578,107232.74739262844,130076.99004920606,0.07232747392628447,0.30076990049206054
2022-09-26,-0.012873403931971445,-0.012873403931971455,105852.29692070808,128402.4564140476,0.05852296920708078,0.28402456414047594
2022-09-27,-0.0008436973987967537,-0.0008436973987967544,105762.98961313942,128294.12359557195,0.05762989613139413,0.2829412359557195
2022-09-28,0.023193487605784394,0.0231934876057844,108216.00220188248,131269.71176108083,0.08216002201882477,0.31269711761080843
2022-09-29,-0.01890915587413644,-0.0190248069549502,106169.72894817118,128772.33083579429,0.061697289481711826,0.2877233083579429
2022-09-30,-0.014284436997574102,-0.014059084730860084,104653.15414396152,126961.90972558352,0.04653154143961524,0.2696190972558352
2022-10-03,0.029441925904801727,0.029507039118826243,107734.34455397184,130708.1797624572,0.07734344553971839,0.3070817976245721
2022-10-04,0.03634914492874181,0.03639135973657889,111650.39585796716,135464.8281527062,0.11650395857967166,0.35464828152706196
2022-10-05,-0.004033346337634974,-0.004033346337634974,111200.07114273793,134918.45158419813,0.11200071142737933,0.3491845158419813
2022-10-06,-0.01056539214369816,-0.010426225176655939,110025.19878470778,133511.7614274955,0.10025198784707778,0.335117614274955
